 ea_code  |  sp_code  |       sp_name        | mp_code |        mp_name        | mn_code |     mn_name     | dc_code | dc_mdb_code |      dc_name       |  pr_name   |  survey   
 87410868 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410869 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410870 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410871 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410872 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410873 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410874 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410875 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410876 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410877 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410878 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410880 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410881 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410883 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87410891 | 874018001 | Jerusalem SP         |  874018 | Jerusalem             |     874 | Mbombela        |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
